 # sweep    Energy    eta
         139  -629.81628303568414        8.3403249787137410E-002
         140  -628.14578771538368        7.7162182416313924E-002
         141  -626.60292521049780        7.4770839857384863E-002
         142  -626.95015578487710        7.5187390518384856E-002
         143  -628.08354443008238        7.7735873183638032E-002
         144  -625.34464777085941        7.3944649030043580E-002
         145  -634.21432442646005        7.5746398965383752E-002
         146  -634.15855657131601        7.9777600812208319E-002
         147  -634.33269589790780        8.7193663070890576E-002
         148  -633.92850435974560        9.0987691775585550E-002
         149  -634.56999209962942        8.8988043788970558E-002
         150  -635.31051217014431        8.7032342318552891E-002
         151  -639.50434004705767        8.4335112436345255E-002
         152  -644.09068345308378        8.0222039511706464E-002
         153  -643.98812201685246        8.4491433677670896E-002
         154  -646.33759969792663        8.3403239844695845E-002
         155  -645.53691156187836        7.2319553834438111E-002
         156  -646.72801026272737        7.2722448305202622E-002
         157  -642.49452084313509        7.1124217879774562E-002
         158  -645.97100577094193        7.3534978980759627E-002
         159  -647.79033204446773        7.1918891466117255E-002
         160  -651.62300168990112        7.7879952972852398E-002
         161  -650.98068537850429        7.9777591301977743E-002
         162  -655.73335563165358        8.4804935846103865E-002
         163  -657.99715848010158        8.6070656048568950E-002
         164  -660.37058847184176        8.1872939643477638E-002
         165  -658.15312532089058        8.3094899576682577E-002
         166  -652.59696878266811        8.5119606325626054E-002
         167  -657.90901811469848        7.8750103949974809E-002
         168  -661.69372526792017        7.5606243770062961E-002
         169  -665.38033682954892        7.6734672784453464E-002
         170  -661.65906247615885        7.6450995201821650E-002
         171  -659.46050242553054        8.5119601252102300E-002
         172  -658.03279103870398        8.7193642282303752E-002
         173  -658.98793575300351        8.0668939741572951E-002
         174  -658.33812429023453        7.7448475835006636E-002
         175  -658.43705391346475        7.7879943688839062E-002
         176  -659.89428841140273        7.5466356903212517E-002
         177  -664.80789267080092        7.3127569878549153E-002
         178  -666.53058971932137        7.5606234757096880E-002
         179  -667.52733330093042        7.7448471218717868E-002
         180  -666.09816126051987        7.3671263827611203E-002
         181  -665.66707989811403        7.0078273057580756E-002
         182  -666.81971643308930        6.7906468793223734E-002
         183  -667.02146035814633        7.0861260262719605E-002
         184  -665.42238822561433        7.0599295882288388E-002
         185  -664.15302954236995        7.5048251775547720E-002
         186  -665.73958834692019        8.0519681062256404E-002
         187  -663.54660972023169        8.2481639527818756E-002
         188  -665.33203467689009        8.4491403461184889E-002
         189  -672.52769893782943        8.3403210017378215E-002
         190  -671.91675452459367        8.2329031786038551E-002
         191  -666.87166825812756        7.9042293715860981E-002
         192  -670.19038688175897        8.0222006040470223E-002
         193  -673.65673506527071        7.7735836116293977E-002
         194  -674.19967337776950        7.0599287466196994E-002
         195  -673.05940240431914        8.0818446197558208E-002
         196  -672.73432435772270        8.5119580958010352E-002
         197  -669.96118797483666        8.3248897183505921E-002
         198  -675.15695937461248        8.6070625267309173E-002
         199  -674.27069168076446        8.8167839136659668E-002
         200  -675.35489591573992        9.1156295154662656E-002
         201  -673.86385385761753        8.2787679498935604E-002
         202  -667.77106546787127        8.9649610202157476E-002
         203  -671.12582015049372        8.9318187863556137E-002
         204  -676.29673359335777        9.0651268700167237E-002
         205  -674.40383142720350        8.7032290443249824E-002
         206  -672.94705618664807        8.6710543977565377E-002
         207  -674.80431691989361        8.4023286986793649E-002
         208  -676.37381278814905        8.4491383316866953E-002
         209  -677.04933877976964        7.9629948626658315E-002
         210  -673.44888739550322        8.3867831883828459E-002
         211  -671.31825396389593        7.9777548505954282E-002
         212  -674.44793542151854        7.5886750648756121E-002
         213  -670.10404915149104        8.3712659405382778E-002
         214  -672.93082944882963        8.6550106747097552E-002
         215  -674.55627072761661        8.5435398565380266E-002
         216  -675.66160380603822        7.7591990572828132E-002
         217  -669.22946221716290        8.3248872373404864E-002
         218  -675.40438368058346        8.2176681908931695E-002
         219  -680.22473544333377        8.3403175218854528E-002
         220  -680.20458973064945        7.8604353453066877E-002
         221  -674.68043243806324        7.8313763916905851E-002
         222  -671.79690081175340        7.7305134388182845E-002
         223  -672.75841730482296        7.7735803682382434E-002
         224  -679.18610529973841        7.8168872248537691E-002
         225  -677.88984862752875        8.3867811888181515E-002
         226  -677.07314335503838        8.2787649891759504E-002
         227  -678.32542738521249        7.8024243999879603E-002
         228  -681.84531358909624        7.4909361587346290E-002
         229  -682.12512870092041        7.6734617899558114E-002
         230  -689.37603316055208        7.3671219916129183E-002
         231  -685.46549984635908        7.4081644560432661E-002
         232  -686.87206901207821        7.1785771324019851E-002
         233  -685.30434014865421        7.4218955832349873E-002
         234  -685.00536410984193        7.3944578510964545E-002
         235  -688.74322543573078        7.7162104229537454E-002
         236  -686.27102674288551        8.4335032008152858E-002
         237  -681.01389477422447        8.6389956069065812E-002
         238  -682.78297030706119        8.5277310522252389E-002
         239  -687.42969981723820        8.1118286044045501E-002
         240  -683.66799180297880        8.7841847580826179E-002
         241  -686.86470971918573        9.3377377370260625E-002
         242  -686.95477713595903        8.8823307878442670E-002
         243  -688.48561872983862        9.2688246772715102E-002
         244  -684.05786296378869        8.7355183914155601E-002
         245  -681.84706169676895        9.0316094917853654E-002
         246  -684.08191046248180        8.8331206700149961E-002
         247  -684.06968952369357        8.4023241913202165E-002
         248  -686.98733519578639        8.2176652520265361E-002
         249  -685.96103021734677        8.0370645855493569E-002
         250  -689.80400417864382        8.0073526578072693E-002
         251  -691.87833664329969        7.7591958198933650E-002
         252  -689.66449170834676        7.5886709939941704E-002
         253  -688.48389757289510        7.7735780515311062E-002
         254  -686.71386730086579        7.8895993029723818E-002
         255  -684.85428502130833        8.0818388391721521E-002
         256  -679.36599793649668        8.5911320847005049E-002
         257  -684.66228172001308        8.1721375313198091E-002
         258  -688.35374026101704        7.4909339262620167E-002
         259  -688.66016127403066        8.3403140420345342E-002
         260  -689.23450739151019        8.0818383574570316E-002
         261  -684.17593187728630        8.3557729203585229E-002
         262  -685.04489619475737        8.4023231896851736E-002
         263  -686.23162228403260        7.9925369569147656E-002
         264  -682.85593439749073        7.8895983624589078E-002
         265  -688.23662641032354        7.7162076634223462E-002
         266  -686.20828014518850        7.9042223046574933E-002
         267  -682.22598280359819        8.0968181478069376E-002
         268  -683.14264491143058        8.2176637825936066E-002
         269  -682.33968755848707        7.4632400791309672E-002
         270  -681.56803112132798        8.2328953270992822E-002
         271  -673.63229134923290        8.3557719242728257E-002
         272  -675.28393137579030        7.9482560240346681E-002
         273  -675.53673138526210        6.8919904129674928E-002
         274  -675.10113963381878        7.6734576735912330E-002
         275  -675.50519494808634        7.6450899508358830E-002
         276  -677.03369476406795        7.2722344274980186E-002
         277  -680.69634401812391        7.4494311291038298E-002
         278  -681.01782702833702        7.7019301979985855E-002
         279  -685.07360120070632        7.8168820997047944E-002
         280  -686.92251780672848        7.9335496674020178E-002
         281  -682.56099866493139        8.2024579731950653E-002
         282  -683.51841791107393        8.1721346087361965E-002
         283  -687.26923897903362        8.2176618233501128E-002
         284  -684.73541442945725        7.8895964814322955E-002
         285  -686.17770643655570        7.9335496674020164E-002
         286  -683.84527988277728        8.4334981740571469E-002
         287  -685.88159161045860        8.4804814531756673E-002
         288  -686.09568630305182        8.5277264775950309E-002
         289  -687.03546133498457        8.0370612322253857E-002
         290  -684.69620086205430        8.0818359488818575E-002
         291  -680.72486089811412        8.0519585075373740E-002
         292  -682.39616646596994        7.8749995990993318E-002
         293  -685.18012842522489        7.9188714653861930E-002
         294  -689.19123560992955        7.9629877431967963E-002
         295  -690.77635712845859        7.7879841564765545E-002
         296  -687.89637887592562        7.3398819375425639E-002
         297  -683.90129161000959        7.4494302410624824E-002
         298  -689.25714962204802        7.4909312472957484E-002
         299  -687.93025372058764        7.9629872685657535E-002
         300  -692.33073058962157        7.2319441759410533E-002
         301  -689.25932682768473        8.0519580276032579E-002
         302  -689.55086856413322        8.9649514018611806E-002
         303  -686.90965465176021        8.6871175050652699E-002
         304  -693.61744944826910        8.2634416864054136E-002
         305  -693.70321813890234        8.0073483623297081E-002
         306  -689.77466427068316        8.1268586536737006E-002
         307  -689.09515263522712        7.8749981909397943E-002
         308  -684.44200753972336        8.6871164694802258E-002
         309  -682.39027371791201        8.4178929887891246E-002
         310  -683.78857876463258        8.0818340220222412E-002
         311  -681.48362648165880        8.1268581692751904E-002
         312  -681.85634387417451        8.5593672536454626E-002
         313  -678.35290129582654        8.5277244444268388E-002
         314  -676.78008699669635        8.4961986143429535E-002
         315  -678.32799203308639        8.2328918920683780E-002
         316  -686.51543842485057        7.9777453403762022E-002
         317  -692.62974714122277        8.1721326603477001E-002
         318  -693.00969520491435        8.1419214044198121E-002
         319  -696.74913508925488        7.8168797700927301E-002
         320  -692.29513559745124        7.8604278490149435E-002
         321  -692.11235815876148        8.1268576848767107E-002
         322  -692.58087114075659        8.0221891282051969E-002
         323  -690.46955875924709        7.5606113082159962E-002
         324  -690.47506318626847        7.1255915860852601E-002
         325  -692.11598186540607        7.3671140875527341E-002
         326  -691.21698666587497        8.0519551479991833E-002
         327  -689.50474189894874        8.8004584882066902E-002
         328  -692.63133235886301        8.2176583946751217E-002
         329  -696.80727198223451        8.3403075794580964E-002
         330  -697.19743091162968        8.3094746038723091E-002
         331  -693.23734355132740        8.2787556135771614E-002
         332  -694.19872407780099        7.7305046841075822E-002
         333  -697.21660110052301        8.0668795494396803E-002
         334  -695.96123874863281        8.3403070823370409E-002
         335  -694.91290097861315        8.7032160755127347E-002
         336  -697.25866949026010        8.4334936499773860E-002
